episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,2
27,2
28,2
29,1 2
30,2
31,2
32,1 0
33,2
34,1 2
35,0
36,2
37,0
38,0
39,2
40,1 0
41,0
42,2
43,0
44,0
45,2
46,1 2
47,0
48,1 2
49,0
50,2
51,2
52,1 2
53,2
54,2
55,1 2
56,2
57,2
58,0
59,2
60,2
61,1 2
62,2
63,2
64,2
65,2
66,2
67,0
68,0
69,2
70,0
71,2
72,1 2
73,2
74,0
75,2
76,1 2
77,1 2
78,2
79,1 2
80,0
81,1 0
82,2
83,2
84,1 1 2
85,0
86,1 2
87,1 0
88,1 0
89,2
90,0
91,1 2
92,0
93,0
94,0
95,2
96,1 1 1
97,2
98,1 2
99,0
100,2
101,0
102,2
103,0
104,0
105,0
106,2
107,0
108,2
109,0
110,0
111,2
112,2
113,1 1 0
114,0
115,0
116,2
117,1 1 1
118,2
119,2
120,0
121,0
122,2
123,0
124,2
125,2
126,2
127,1 0
128,2
129,2
130,0
131,2
132,2
133,0
134,2
135,1 1 2
136,1 0
137,2
138,2
139,1 0
140,2
141,1 0
142,2
143,1 2
144,0
145,2
146,2
147,0
148,2
149,0
150,1 2
151,1 2
152,1 1 0
153,1 2
154,0
155,1 2
156,1 1 2
157,1 2
158,2
159,1 2
160,2
161,2
162,2
163,0
164,1 2
165,0
166,0
167,0
168,1 0
169,1 2
170,0
171,2
172,1 2
173,0
174,1 0
175,0
176,1 0
177,1 1 0
178,1 2
179,0
180,1 2
181,2
182,0
183,0
184,0
185,0
186,2
187,1 0
188,2
189,0
190,0
191,0
192,0
193,0
194,1 1 0
195,2
196,2
197,2
198,0
199,2
200,1 0
201,1 0
202,0
203,1 1 2
204,2
205,1 2
206,1 2
207,0
208,0
209,0
210,2
211,2
212,0
213,0
214,2
215,1 2
216,0
217,1 0
218,1 1 0
219,0
220,0
221,0
222,0
223,1 0
224,1 2
225,1 1 1
226,0
227,2
228,1 2
229,2
230,0
231,1 1 2
232,0
233,2
234,2
235,2
236,1 1 1
237,2
238,2
239,2
240,0
241,2
242,1 0
243,0
244,0
245,1 1 2
246,0
247,2
248,1 2
249,2
250,1 2
251,2
252,0
253,0
254,2
255,1 2
256,1 2
257,2
258,2
259,0
260,2
261,2
262,2
263,0
264,0
265,1 2
266,2
267,2
268,0
269,1 2
270,2
271,2
272,2
273,0
274,2
275,1 2
276,0
277,0
278,2
279,1 1 2
280,1 0
281,0
282,1 2
283,1 0
284,0
285,1 2
286,2
287,0
288,1 1 2
289,0
290,2
291,0
292,2
293,1 2
294,2
295,1 0
296,2
297,1 2
298,1 2
299,2
300,0
301,2
302,2
303,0
304,2
305,1 2
306,2
307,1 0
308,2
309,2
310,2
311,0
312,1 2
313,0
314,1 1 0
315,0
316,2
317,2
318,0
319,2
320,1 0
321,2
322,1 2
323,1 1 0
324,2
325,1 1 2
326,2
327,0
328,2
329,0
330,2
331,2
332,0
333,2
334,2
335,0
336,0
337,2
338,1 1 0
339,2
340,0
341,2
342,2
343,2
344,2
345,2
346,2
347,0
348,2
349,2
350,2
351,0
352,2
353,0
354,0
355,0
356,1 0
357,2
358,0
359,2
360,0
361,1 2
362,2
363,2
364,2
365,0
366,0
367,0
368,0
369,0
370,1 0
371,2
372,0
373,0
374,2
375,2
376,1 2
377,2
378,2
379,2
380,1 2
381,0
382,2
383,2
384,0
385,2
386,1 2
387,0
388,0
389,1 2
390,1 1 1
391,0
392,1 2
393,2
394,1 1 2
395,1 1 1
396,1 2
397,2
398,1 1 0
399,1 0
400,0
401,1 1 2
402,2
403,2
404,2
405,1 0
406,1 0
407,1 2
408,1 1 0
409,0
410,2
411,1 0
412,2
413,2
414,2
415,0
416,2
417,0
418,0
419,2
420,2
421,0
422,2
423,0
424,1 2
425,2
426,2
427,1 1 2
428,2
429,2
430,1 2
431,2
432,0
433,2
434,0
435,0
436,1 2
437,1 2
438,2
439,0
440,2
441,0
442,1 0
443,2
444,2
445,0
446,1 2
447,1 2
448,2
449,2
450,2
451,2
452,2
453,0
454,0
455,1 0
456,1 2
457,2
458,1 2
459,1 2
460,0
461,1 2
462,1 2
463,2
464,2
465,1 0
466,0
467,2
468,0
469,0
470,2
471,0
472,2
473,2
474,0
475,0
476,1 0
477,0
478,2
479,1 0
480,2
481,1 2
482,1 2
483,0
484,1 0
485,1 2
486,1 1 2
487,0
488,1 2
489,2
490,2
491,2
492,2
493,0
494,0
495,2
496,0
497,0
498,2
499,1 2
500,2
