episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,2
27,2
28,2
29,1 2
30,2
31,2
32,1 0
33,2
34,1 2
35,0
36,2
37,0
38,0
39,2
40,1 0
41,0
42,2
43,0
44,0
45,2
46,1 2
47,0
48,1 2
49,0
50,2
51,2
52,0
53,2
54,2
55,2
56,1 2
57,2
58,2
59,0
60,2
61,2
62,1 2
63,2
64,2
65,2
66,2
67,2
68,0
69,0
70,2
71,0
72,2
73,1 2
74,2
75,2
76,2
77,1 2
78,1 2
79,2
80,1 2
81,0
82,2
83,0
84,2
85,2
86,1 1 2
87,0
88,1 2
89,1 0
90,1 0
91,2
92,0
93,2
94,2
95,0
96,0
97,1 2
98,1 1 1
99,2
100,1 2
101,0
102,2
103,0
104,2
105,0
106,0
107,0
108,2
109,0
110,2
111,0
112,0
113,2
114,2
115,1 1 0
116,0
117,0
118,2
119,1 2
120,2
121,2
122,2
123,0
124,0
125,2
126,0
127,2
128,2
129,2
130,1 0
131,2
132,2
133,0
134,2
135,2
136,1 2
137,2
138,1 2
139,1 0
140,2
141,2
142,1 0
143,2
144,1 0
145,2
146,1 2
147,0
148,2
149,2
150,0
151,2
152,0
153,2
154,2
155,1 2
156,1 1 2
157,1 2
158,1 1 2
159,2
160,1 2
161,1 2
162,2
163,1 2
164,2
165,2
166,2
167,2
168,2
169,2
170,0
171,0
172,2
173,2
174,0
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,1 2
183,0
184,1 0
185,1 1 1
186,1 2
187,0
188,1 2
189,2
190,2
191,0
192,0
193,2
194,2
195,1 0
196,2
197,2
198,1 0
199,1 2
200,1 1 0
201,2
202,2
203,2
204,0
205,2
206,1 0
207,2
208,0
209,1 1 1
210,2
211,2
212,1 2
213,1 2
214,2
215,0
216,0
217,2
218,2
219,0
220,1 2
221,1 2
222,0
223,1 0
224,2
225,1 0
226,0
227,0
228,0
229,0
230,1 0
231,1 2
232,1 1 1
233,0
234,2
235,1 2
236,2
237,0
238,1 1 2
239,0
240,2
241,2
242,2
243,2
244,1 2
245,2
246,2
247,2
248,0
249,2
250,1 2
251,2
252,2
253,2
254,1 2
255,0
256,2
257,1 2
258,2
259,1 2
260,2
261,0
262,0
263,2
264,1 2
265,1 2
266,2
267,2
268,0
269,2
270,2
271,2
272,0
273,0
274,1 2
275,2
276,2
277,0
278,1 2
279,2
280,2
281,2
282,2
283,2
284,1 2
285,0
286,0
287,2
288,1 1 2
289,2
290,0
291,0
292,1 2
293,1 0
294,0
295,2
296,2
297,2
298,0
299,1 1 2
300,0
301,2
302,0
303,2
304,1 2
305,2
306,2
307,0
308,2
309,1 2
310,2
311,2
312,2
313,0
314,2
315,2
316,0
317,2
318,1 2
319,2
320,1 0
321,2
322,2
323,2
324,0
325,1 2
326,0
327,1 1 0
328,0
329,2
330,2
331,0
332,2
333,1 0
334,2
335,1 2
336,0
337,1 0
338,2
339,1 1 2
340,2
341,0
342,2
343,0
344,2
345,2
346,0
347,2
348,2
349,2
350,2
351,2
352,0
353,1 0
354,0
355,0
356,0
357,2
358,2
359,0
360,2
361,2
362,0
363,2
364,0
365,2
366,0
367,2
368,0
369,0
370,0
371,1 0
372,2
373,0
374,2
375,0
376,1 2
377,0
378,2
379,2
380,2
381,0
382,0
383,0
384,1 1 0
385,0
386,0
387,0
388,0
389,2
390,1 2
391,2
392,2
393,2
394,1 2
395,0
396,2
397,2
398,0
399,2
400,1 2
401,0
402,0
403,0
404,2
405,1 1 0
406,0
407,1 2
408,2
409,1 1 2
410,1 1 1
411,1 2
412,2
413,1 0
414,0
415,1 0
416,0
417,1 2
418,2
419,2
420,2
421,2
422,1 1 1
423,0
424,1 2
425,2
426,1 0
427,0
428,2
429,2
430,0
431,2
432,2
433,2
434,0
435,2
436,0
437,0
438,2
439,2
440,2
441,2
442,0
443,0
444,2
445,2
446,0
447,0
448,1 2
449,2
450,2
451,1 2
452,2
453,0
454,2
455,2
456,0
457,1 2
458,1 1 1
459,0
460,2
461,0
462,0
463,0
464,2
465,2
466,0
467,1 2
468,1 2
469,2
470,2
471,2
472,2
473,2
474,0
475,0
476,1 0
477,1 2
478,0
479,1 2
480,1 2
481,2
482,1 2
483,1 2
484,2
485,2
486,1 0
487,0
488,2
489,0
490,0
491,2
492,0
493,2
494,2
495,2
496,2
497,1 0
498,2
499,2
500,1 2
