episode,reward,final_f1,total_tokens,policy_loss,value_loss
1,0.6895147235576924,0.6923076923076924,143.0,0.8853699564933777,0.724609375
2,0.10714395630411255,0.11255411255411256,277.0,0.28107690811157227,0.08120694011449814
3,0.4588219572368421,0.4631578947368421,222.0,0.5658265352249146,0.3467235565185547
4,0.13027911679964535,0.13475177304964536,229.0,0.20273275673389435,0.044166043400764465
5,0.1515384615384615,0.9615384615384615,591.0,0.21350601315498352,0.03228764981031418
6,-0.015138339920948624,0.09486166007905138,569.0,-0.03423520177602768,0.0012097475118935108
7,-0.04984962406015039,0.06015037593984962,780.0,-0.0991382896900177,0.00929280649870634
8,0.1065834683319398,0.11371237458193979,365.0,0.023087728768587112,0.0006574025028385222
9,-0.08647058823529408,0.8235294117647058,530.0,-0.17851954698562622,0.023058101534843445
10,0.028655472132034638,0.03463203463203464,306.0,-0.07449137419462204,0.007462996989488602
11,-0.021564625850340136,0.08843537414965986,633.0,-0.17322617769241333,0.028915774077177048
12,0.09000000000000008,1.0,1144.0,-0.025916939601302147,0.0013802628964185715
13,0.2923828125000001,1.0,390.0,0.25669586658477783,0.04144258797168732
14,0.001755642361111101,0.1111111111111111,479.0,-0.09907564520835876,0.008736785501241684
15,0.29000000000000004,1.0,521.0,0.2627999484539032,0.043940357863903046
16,0.29125,1.0,448.0,0.264460951089859,0.04724690690636635
17,0.03907858455882353,0.04411764705882353,258.0,-0.0759478360414505,0.0075976913794875145
18,0.16088948349530832,0.2680965147453083,369.0,0.003352181054651737,0.0005057997186668217
19,0.29537109375000004,1.0,237.0,0.20397816598415375,0.030749784782528877
20,0.21710376701732673,0.32673267326732675,493.0,0.06769482791423798,0.005778254941105843
21,0.2917773437500001,1.0,421.0,0.16756121814250946,0.021530473604798317
22,0.29162109375,1.0,429.0,0.138551726937294,0.015159057453274727
23,0.02096976902173913,0.02608695652173913,262.0,-0.15904180705547333,0.030620941892266273
24,0.054895299692622954,0.05901639344262295,211.0,-0.11357177793979645,0.01432875357568264
25,0.2937304687500001,1.0,321.0,0.1022929921746254,0.008897344581782818
26,0.29427734375000003,1.0,293.0,0.10775160044431686,0.01057339459657669
27,0.29000000000000004,1.0,626.0,0.05491933599114418,0.002883288310840726
28,0.04442820581896552,0.04827586206896552,197.0,-0.16292217373847961,0.026257172226905823
29,0.19000000000000006,1.0,663.0,-0.08237872272729874,0.005004970356822014
30,-0.002320772058823528,0.7058823529411764,420.0,-0.21825440227985382,0.049601875245571136
31,0.29314453125000006,1.0,351.0,0.06356405466794968,0.00419376278296113
32,-0.0913953488372093,0.0186046511627907,548.0,-0.3616716265678406,0.09479014575481415
33,0.29011718750000004,1.0,506.0,0.04906892403960228,0.0027897097170352936
34,0.09616735038610041,0.10038610038610041,216.0,-0.11192838847637177,0.01093357801437378
35,0.29400390625000006,1.0,307.0,0.10817083716392517,0.013316369615495205
36,0.05905280565693431,0.06569343065693431,340.0,-0.15056075155735016,0.019012121483683586
37,0.29375000000000007,1.0,320.0,0.08285178989171982,0.008478478528559208
38,0.16964558462078652,0.17415730337078653,231.0,-0.010660612024366856,9.136660810327157e-05
39,0.4958203125,0.5,214.0,0.3249742388725281,0.08361756056547165
40,0.16922065548780507,0.878048780487805,452.0,-0.01287583913654089,0.0002196441637352109
41,-0.00619377162629757,0.10380622837370243,575.0,-0.2323189079761505,0.03425275534391403
42,0.9957421875,1.0,218.0,0.934738278388977,0.6688634753227234
43,0.29345703125,1.0,335.0,0.10054381191730499,0.014081872999668121
44,0.9978125,1.0,112.0,0.8548902273178101,0.6431237459182739
45,0.12088012315031155,0.12461059190031154,191.0,-0.06027354300022125,0.002772183855995536
46,0.29455078125,1.0,279.0,0.06671514362096786,0.0068961638025939465
47,0.19000000000000006,1.0,1128.0,-0.09179240465164185,0.006074951030313969
48,0.12002748842592591,0.1259259259259259,302.0,-0.10383561253547668,0.008056883700191975
49,0.19000000000000006,1.0,693.0,-0.0374063104391098,0.001561313634738326
50,0.19399571572580643,0.20161290322580644,390.0,-0.09044693410396576,0.00613553449511528
51,0.12665364583333338,0.8333333333333334,342.0,-0.06136561557650566,0.006137257441878319
52,0.2908007812500001,1.0,471.0,0.04091296344995499,0.002811880549415946
53,0.06955673993644067,0.07457627118644067,257.0,-0.1984352320432663,0.029037214815616608
54,0.2945703125000001,1.0,278.0,0.08391944319009781,0.011615688912570477
55,0.2906835937500001,1.0,477.0,0.06278810650110245,0.007075974717736244
56,0.29378906250000003,1.0,318.0,0.06602694094181061,0.008053352124989033
57,0.19000000000000006,1.0,676.0,-0.0712055116891861,0.0035644839517772198
58,0.29306640625,1.0,355.0,0.06290486454963684,0.007077586837112904
59,0.29302734375000006,1.0,357.0,0.043255001306533813,0.0037216423079371452
60,0.99591796875,1.0,209.0,0.8712363243103027,0.5399906635284424
61,0.2910351562500001,1.0,459.0,0.03218068554997444,0.0021506191696971655
62,0.2915234375000001,1.0,434.0,0.012301853857934475,0.0003363257856108248
63,0.19000000000000006,1.0,875.0,-0.14427615702152252,0.01395338959991932
64,0.2931054687500001,1.0,353.0,0.009411829523742199,0.00022082238865550607
65,0.29138671875,1.0,441.0,-0.01188837829977274,0.00038164088618941605
66,0.29279296875000005,1.0,369.0,0.012147452682256699,0.0003588489780668169
67,0.29462890625000004,1.0,275.0,0.014501265250146389,0.0004441045457497239
68,0.29337890625000007,1.0,339.0,-0.027839506044983864,0.002116625430062413
69,0.9868629092261905,0.9904761904761905,185.0,0.7200678586959839,0.41616785526275635
70,0.21248046875,0.21875,321.0,-0.1018679141998291,0.006911169737577438
71,0.2903125000000001,1.0,496.0,-0.022860083729028702,0.00148577312938869
72,0.024087392769607842,0.03137254901960784,373.0,-0.42108154296875,0.10453247278928757
73,0.29322265625,1.0,347.0,-0.007013498805463314,0.0001340782328043133
74,0.19000000000000006,1.0,873.0,-0.18612580001354218,0.020434968173503876
75,-0.2887390988372092,0.4186046511627907,376.0,-0.34783777594566345,0.34019383788108826
76,0.2941015625000001,1.0,302.0,0.013622261583805084,0.0005106264143250883
77,-0.009700913027108404,0.6987951807228916,435.0,-0.18398647010326385,0.10513947904109955
78,0.17633673720472443,0.18110236220472442,244.0,-0.08566606044769287,0.004555836785584688
79,0.29000000000000004,1.0,531.0,0.03515692427754402,0.003578729694709182
80,0.19000000000000006,1.0,692.0,-0.07655299454927444,0.0037709497846663
81,0.2913671875,1.0,442.0,0.06553388386964798,0.010815377347171307
82,0.19000000000000006,1.0,1146.0,-0.05305613949894905,0.0018507373752072453
83,0.10675333130411256,0.11255411255411256,297.0,-0.09491657465696335,0.005716499872505665
84,0.2913671875,1.0,442.0,0.06059710681438446,0.01064690388739109
85,0.3565660511363636,0.3636363636363636,362.0,0.1703302413225174,0.023930134251713753
86,0.2949609375000001,1.0,258.0,0.0785309448838234,0.01755121722817421
87,0.29000000000000004,1.0,527.0,0.06210082769393921,0.011452382430434227
88,0.29009765625000006,1.0,507.0,0.05295385792851448,0.009579354897141457
89,0.19000000000000006,1.0,1007.0,-0.2045651376247406,0.021288705989718437
90,0.5684012276785715,0.5714285714285715,155.0,0.3939651548862457,0.10099145025014877
91,-0.058320312499999916,0.65,426.0,-0.1482645720243454,0.08372156322002411
92,0.29107421875000006,1.0,457.0,0.024052036926150322,0.002198105212301016
93,0.2906640625000001,1.0,478.0,0.007789470721036196,0.0002918570244219154
94,0.5676590401785715,0.5714285714285715,193.0,0.2671090066432953,0.06437194347381592
95,0.29000000000000004,1.0,575.0,0.010662980377674103,0.00046696726349182427
96,0.29277343750000007,1.0,370.0,0.019394123926758766,0.0014437861973419785
97,0.2948242187500001,1.0,265.0,0.016221841797232628,0.0010102471569553018
98,0.17851217468454258,0.1829652996845426,228.0,-0.14404194056987762,0.011860993690788746
99,0.2934375,1.0,336.0,-0.010634900070726871,0.00048390886513516307
100,0.29431640625,1.0,291.0,-0.007433371618390083,0.0002330289571546018
101,0.1431640625,0.15,350.0,-0.2224680334329605,0.0283940602093935
102,0.09210622479838709,0.0967741935483871,239.0,-0.35568109154701233,0.06595130264759064
103,0.046834320262738864,0.05095541401273886,211.0,-0.34493735432624817,0.06161843240261078
104,0.2934375,1.0,336.0,-0.06216828525066376,0.012944095768034458
105,0.2929882812500001,1.0,359.0,-0.0032450708094984293,5.726698145736009e-05
106,0.29435546875000007,1.0,289.0,0.017088331282138824,0.0010189958848059177
107,0.29244140625000004,1.0,387.0,0.03209224343299866,0.005111913662403822
108,0.29179687500000007,1.0,420.0,0.01783757284283638,0.001995608676224947
109,0.2938476562500001,1.0,315.0,0.031107602640986443,0.005397253669798374
110,0.29365234375000004,1.0,325.0,0.019181236624717712,0.0021074176765978336
111,0.3781133497807017,0.38596491228070173,402.0,0.11838454008102417,0.007229085545986891
112,0.12438548018292683,0.8292682926829268,250.0,-0.09675195813179016,0.038358770310878754
113,0.8552873883928571,0.8571428571428571,95.0,0.7194263339042664,0.3263894319534302
114,0.2933203125,1.0,342.0,0.0019322861917316914,2.066220076812897e-05
115,0.29375000000000007,1.0,320.0,0.012990045361220837,0.001263872254639864
116,0.2904296875000001,1.0,490.0,0.02734627015888691,0.0037636912893503904
117,0.039663563204887224,0.04511278195488722,279.0,-0.28671523928642273,0.03786058351397514
118,0.2940820312500001,1.0,303.0,0.030948102474212646,0.0038818372413516045
119,0.09685546874999998,0.10156249999999999,241.0,-0.30322763323783875,0.03917815163731575
120,0.2940625,1.0,304.0,0.012318025343120098,0.0011370214633643627
121,0.06893353411259541,0.07633587786259541,379.0,-0.4001597464084625,0.06583163887262344
122,0.29218750000000004,1.0,400.0,0.010649547912180424,0.0008834773325361311
123,0.2954296875000001,1.0,234.0,0.002550192177295685,4.779666051035747e-05
124,0.2911328125,1.0,454.0,0.010139205493032932,0.0008409800939261913
125,0.2925195312500001,1.0,383.0,0.005993071012198925,0.0003434419340919703
126,0.12473958333333335,0.8333333333333333,440.0,-0.05224156007170677,0.02915426716208458
127,0.29316406250000004,1.0,350.0,0.011865788139402866,0.0013364548794925213
128,0.07322250484496123,0.07751937984496124,220.0,-0.2593945264816284,0.024349773302674294
129,0.0951361238895939,0.10152284263959391,327.0,-0.3027963936328888,0.029854943975806236
130,0.29150390625,1.0,435.0,0.008067801594734192,0.0009105198550969362
131,0.14940848214285718,0.8571428571428571,396.0,-0.027498137205839157,0.009986634366214275
132,0.11021324936224497,0.8163265306122449,313.0,-0.046861983835697174,0.026376230642199516
133,0.294296875,1.0,292.0,0.027154870331287384,0.009065043181180954
134,0.29048828125000004,1.0,487.0,0.022177353501319885,0.006972115486860275
135,0.29425781250000005,1.0,294.0,0.03276858106255531,0.014068546704947948
136,0.03725101070804196,0.04195804195804196,241.0,-0.2671792805194855,0.01937144249677658
137,0.99556640625,1.0,227.0,1.0575779676437378,0.4977934956550598
138,0.2914062500000001,1.0,440.0,0.009269089438021183,0.0006847480544820428
139,0.2932421875000001,1.0,346.0,0.025946341454982758,0.010749063454568386
140,0.29423828125000007,1.0,295.0,0.009799089282751083,0.0005872346227988601
141,0.29236328125,1.0,391.0,0.011981458403170109,0.003200831823050976
142,0.2931054687500001,1.0,353.0,0.0205396581441164,0.007590317167341709
143,0.29130859375000007,1.0,445.0,0.007194600999355316,0.001140293781645596
144,0.012382812500000062,0.72,390.0,-0.05181800201535225,0.05887603014707565
145,0.2933593750000001,1.0,340.0,0.005137715023010969,0.000684389378875494
146,0.29033203125000007,1.0,495.0,-0.0031476509757339954,0.00029481443925760686
147,0.028636470295936398,0.0353356890459364,343.0,-0.6568493247032166,0.07674964517354965
148,0.292578125,1.0,380.0,-0.0002974728704430163,2.9733228075201623e-06
149,0.29000000000000004,1.0,757.0,-0.1061290055513382,0.05266588553786278
150,0.03664608970207253,0.04145077720207253,246.0,-0.5095565319061279,0.053305819630622864
151,0.2922265625,1.0,398.0,0.005400737281888723,0.0008385204710066319
152,0.2908007812500001,1.0,471.0,0.004939107224345207,0.0006772663327865303
153,0.2921289062500001,1.0,403.0,0.00523546664044261,0.0008958884864114225
154,0.294921875,1.0,260.0,-0.02103392966091633,0.0029597487300634384
155,0.29000000000000004,1.0,623.0,-0.03149762004613876,0.00837300531566143
156,0.2928515625,1.0,366.0,0.008033739402890205,0.002336891833692789
