episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,1 1 0
27,1 2
28,2
29,2
30,1 0
31,2
32,1 2
33,0
34,2
35,0
36,0
37,2
38,1 0
39,0
40,0
41,0
42,0
43,2
44,1 2
45,0
46,1 2
47,0
48,0
49,0
50,0
51,2
52,1 2
53,1 2
54,2
55,0
56,0
57,2
58,2
59,1 2
60,0
61,2
62,2
63,2
64,2
65,0
66,0
67,2
68,0
69,2
70,1 2
71,2
72,0
73,2
74,1 2
75,1 2
76,2
77,1 2
78,0
79,1 0
80,2
81,2
82,1 1 2
83,0
84,1 0
85,1 0
86,1 0
87,2
88,0
89,1 0
90,0
91,0
92,0
93,2
94,1 1 1
95,2
96,1 2
97,0
98,0
99,0
100,2
101,0
102,0
103,0
104,2
105,0
106,2
107,0
108,0
109,2
110,2
111,1 1 0
112,0
113,0
114,2
115,1 1 1
116,2
117,1 0
118,0
119,2
120,0
121,1 2
122,2
123,1 0
124,2
125,1 0
126,2
127,2
128,0
129,2
130,1 1 2
131,1 0
132,0
133,2
134,1 0
135,2
136,1 0
137,2
138,1 2
139,0
140,2
141,2
142,0
143,1 0
144,1 0
145,1 2
146,1 1 0
147,1 2
148,0
149,1 2
150,1 1 2
151,1 2
152,2
153,1 2
154,2
155,2
156,2
157,0
158,1 1 0
159,0
160,0
161,1 0
162,1 2
163,0
164,2
165,1 2
166,0
167,1 0
168,0
169,1 0
170,1 1 0
171,1 1 0
172,1 2
173,2
174,0
175,0
176,0
177,0
178,1 1 0
179,2
180,0
181,0
182,0
183,1 1 1
184,1 0
185,2
186,2
187,2
188,0
189,2
190,1 0
191,1 0
192,0
193,1 1 2
194,2
195,1 2
196,1 2
197,0
198,0
199,0
200,2
201,2
202,0
203,0
204,2
205,1 2
206,0
207,1 0
208,1 1 0
209,0
210,0
211,0
212,0
213,1 0
214,1 2
215,1 1 1
216,0
217,2
218,1 2
219,2
220,0
221,1 1 2
222,0
223,2
224,2
225,2
226,1 1 1
227,2
228,2
229,2
230,0
231,2
232,1 0
233,0
234,0
235,1 1 0
236,0
237,0
238,1 2
239,2
240,1 2
241,2
242,0
243,0
244,2
245,1 2
246,1 2
247,2
248,2
249,0
250,2
251,2
252,2
253,0
254,0
255,1 2
256,2
257,1 0
258,1 2
259,2
260,2
261,2
262,0
263,2
264,1 2
265,0
266,0
267,2
268,1 0
269,2
270,1 0
271,0
272,1 2
273,1 0
274,0
275,1 0
276,2
277,0
278,1 1 2
279,0
280,2
281,0
282,2
283,1 2
284,2
285,2
286,0
287,2
288,1 2
289,2
290,2
291,2
292,0
293,2
294,2
295,0
296,2
297,1 2
298,2
299,1 0
300,2
301,2
302,2
303,0
304,1 2
305,0
306,1 1 0
307,0
308,2
309,2
310,0
311,2
312,1 0
313,2
314,1 2
315,1 1 0
316,2
317,1 1 2
318,2
319,0
320,2
321,0
322,2
323,2
324,0
325,2
326,2
327,0
328,2
329,2
330,0
331,1 0
332,2
333,0
334,2
335,2
336,2
337,2
338,2
339,2
340,0
341,2
342,0
343,2
344,0
345,2
346,0
347,0
348,2
349,1 0
350,2
351,0
352,2
353,2
354,1 2
355,2
356,2
357,2
358,2
359,0
360,0
361,0
362,1 1 0
363,2
364,0
365,0
366,2
367,2
368,1 2
369,2
370,2
371,2
372,1 2
373,0
374,2
375,2
376,0
377,2
378,1 2
379,0
380,2
381,0
382,2
383,1 1 1
384,0
385,1 2
386,2
387,1 1 2
388,2
389,1 2
390,2
391,2
392,2
393,1 0
394,0
395,0
396,0
397,0
398,0
399,2
400,2
401,2
402,2
403,2
404,1 0
405,1 0
406,1 2
407,2
408,1 0
409,0
410,2
411,2
412,0
413,2
414,2
415,2
416,0
417,2
418,2
419,0
420,2
421,2
422,0
423,2
424,0
425,0
426,2
427,2
428,2
429,1 1 2
430,2
431,2
432,1 2
433,2
434,0
435,2
436,2
437,0
438,2
439,2
440,1 2
441,2
442,0
443,2
444,0
445,2
446,0
447,2
448,2
449,0
450,1 2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,0
459,0
460,1 0
461,1 2
462,2
463,1 2
464,1 2
465,0
466,1 2
467,1 2
468,2
469,2
470,1 0
471,0
472,2
473,0
474,0
475,2
476,0
477,2
478,2
479,2
480,2
481,0
482,0
483,2
484,2
485,1 0
486,2
487,2
488,2
489,2
490,2
491,0
492,1 0
493,1 2
494,2
495,2
496,2
497,2
498,1 2
499,2
500,2
