episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,2
27,2
28,0
29,1 2
30,2
31,2
32,1 0
33,2
34,0
35,2
36,0
37,2
38,0
39,0
40,2
41,1 0
42,0
43,2
44,0
45,0
46,2
47,1 2
48,0
49,1 2
50,0
51,2
52,0
53,0
54,2
55,2
56,2
57,0
58,2
59,2
60,0
61,0
62,2
63,2
64,1 2
65,2
66,2
67,2
68,2
69,2
70,0
71,0
72,2
73,0
74,2
75,1 2
76,2
77,0
78,2
79,0
80,2
81,1 2
82,2
83,1 2
84,0
85,2
86,0
87,2
88,2
89,2
90,1 2
91,0
92,0
93,2
94,1 0
95,2
96,0
97,2
98,0
99,2
100,2
101,0
102,0
103,0
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,0
112,2
113,0
114,2
115,0
116,2
117,0
118,2
119,0
120,2
121,0
122,2
123,2
124,2
125,2
126,2
127,2
128,0
129,0
130,2
131,2
132,2
133,2
134,2
135,2
136,0
137,0
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,0
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,0
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,1 2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,0
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,0
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,1 2
239,2
240,2
241,2
242,0
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,1 2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,0
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1 2
