episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,1 1 0
27,1 2
28,2
29,2
30,1 0
31,2
32,1 2
33,0
34,2
35,0
36,0
37,2
38,1 0
39,0
40,2
41,0
42,0
43,2
44,1 2
45,0
46,1 2
47,0
48,2
49,2
50,0
51,2
52,2
53,2
54,1 2
55,2
56,2
57,0
58,2
59,2
60,1 2
61,2
62,2
63,2
64,2
65,2
66,0
67,0
68,2
69,0
70,2
71,1 2
72,2
73,2
74,2
75,1 2
76,1 2
77,2
78,1 2
79,0
80,2
81,2
82,2
83,2
84,1 1 2
85,0
86,1 2
87,1 1 1
88,2
89,2
90,0
91,2
92,2
93,0
94,0
95,1 2
96,1 1 2
97,2
98,1 2
99,0
100,2
101,0
102,2
103,0
104,0
105,0
106,2
107,0
108,2
109,0
110,0
111,2
112,2
113,1 2
114,2
115,0
116,0
117,2
118,1 2
119,2
120,2
121,2
122,1 0
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,0
133,2
134,2
135,1 2
136,2
137,1 2
138,1 2
139,2
140,2
141,1 0
142,2
143,1 0
144,2
145,1 2
146,0
147,2
148,2
149,0
150,2
151,0
152,2
153,2
154,1 2
155,1 1 2
156,2
157,2
158,2
159,2
160,2
161,2
162,1 2
163,1 2
164,2
165,1 2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,1 2
174,2
175,2
176,1 2
177,2
178,2
179,2
180,2
181,2
182,1 2
183,2
184,2
185,0
186,1 2
187,1 2
188,2
189,2
190,1 2
191,2
192,2
193,0
194,0
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,1 2
204,1 1 2
205,2
206,2
207,2
208,0
209,2
210,2
211,2
212,2
213,0
214,1 1 1
215,2
216,2
217,2
218,2
219,1 2
220,2
221,2
222,0
223,2
224,2
225,2
226,1 2
227,1 2
228,2
229,1 2
230,2
231,1 0
232,0
233,2
234,2
235,2
236,1 0
237,1 2
238,2
239,1 1 2
240,2
241,2
242,2
243,2
244,2
245,1 1 2
246,0
247,2
248,2
249,2
250,2
251,1 2
252,2
253,2
254,2
255,0
256,2
257,1 2
258,2
259,2
260,2
261,1 2
262,0
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,0
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,1 2
286,2
287,2
288,2
289,1 2
290,2
291,2
292,2
293,2
294,2
295,1 2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,0
305,1 2
306,2
307,0
308,2
309,2
310,2
311,2
312,2
313,1 2
314,2
315,0
316,2
317,0
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,1 2
326,2
327,2
328,2
329,0
330,2
331,2
332,2
333,2
334,1 2
335,2
336,1 2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,1 2
345,2
346,0
347,2
348,2
349,2
350,2
351,1 2
352,2
353,1 2
354,1 1 2
355,2
356,2
357,1 2
358,2
359,2
360,2
361,0
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,1 2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,0
381,2
382,2
383,2
384,0
385,2
386,2
387,1 2
388,1 2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,1 2
400,2
401,2
402,1 2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,1 2
414,0
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,1 1 1
426,2
427,1 2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,0
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,0
460,2
461,2
462,0
463,2
464,2
465,2
466,2
467,2
468,0
469,2
470,2
471,2
472,2
473,2
474,0
475,0
476,2
477,2
478,0
479,2
480,1 2
481,2
482,2
483,1 2
484,2
485,0
486,2
487,0
488,0
489,2
490,2
491,1 2
492,2
493,0
494,0
495,2
496,2
497,0
498,2
499,2
500,0
