episode,actions
1,0
2,0
3,0
4,0
5,1 2
6,1 0
7,1 0
8,0
9,1 1 2
10,0
11,1 0
12,1 1 2
13,2
14,1 0
15,2
16,2
17,0
18,1 0
19,2
20,1 0
21,2
22,2
23,0
24,0
25,2
26,0
27,2
28,0
29,1 2
30,2
31,2
32,1 0
33,2
34,0
35,2
36,0
37,2
38,0
39,0
40,2
41,1 0
42,0
43,0
44,0
45,0
46,2
47,1 2
48,0
49,1 2
50,0
51,0
52,0
53,0
54,2
55,2
56,2
57,0
58,2
59,2
60,0
61,0
62,2
63,2
64,1 2
65,0
66,2
67,2
68,2
69,2
70,0
71,0
72,2
73,0
74,2
75,1 2
76,2
77,0
78,2
79,0
80,2
81,1 2
82,2
83,1 2
84,0
85,2
86,0
87,2
88,2
89,2
90,1 2
91,0
92,2
93,2
94,1 0
95,2
96,0
97,2
98,0
99,2
100,2
101,0
102,0
103,0
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,0
112,2
113,0
114,2
115,0
116,0
117,0
118,2
119,0
120,2
121,0
122,0
123,2
124,2
125,2
126,2
127,2
128,0
129,0
130,2
131,1 2
132,2
133,2
134,2
135,0
136,0
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,0
147,2
148,2
149,0
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,0
160,2
161,2
162,0
163,2
164,0
165,2
166,0
167,2
168,2
169,0
170,2
171,0
172,2
173,2
174,2
175,2
176,0
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,1 2
186,1 2
187,2
188,1 2
189,2
190,2
191,2
192,2
193,2
194,2
195,0
196,0
197,2
198,2
199,0
200,2
201,2
202,0
203,2
204,2
205,2
206,2
207,2
208,2
209,0
210,2
211,0
212,0
213,2
214,0
215,2
216,2
217,2
218,1 2
219,2
220,2
221,0
222,0
223,2
224,2
225,2
226,0
227,2
228,2
229,0
230,2
231,2
232,2
233,1 1 2
234,2
235,2
236,2
237,0
238,2
239,2
240,0
241,2
242,0
243,0
244,2
245,1 2
246,2
247,2
248,2
249,1 2
250,2
251,2
252,0
253,2
254,2
255,0
256,0
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,0
266,0
267,2
268,2
269,2
270,2
271,0
272,2
273,2
274,1 2
275,2
276,2
277,2
278,2
279,2
280,2
281,0
282,2
283,2
284,2
285,0
286,2
287,2
288,2
289,2
290,1 2
291,2
292,2
293,2
294,0
295,2
296,2
297,2
298,0
299,0
300,2
301,1 0
302,0
303,0
304,2
305,2
306,2
307,2
308,2
309,2
310,0
311,0
312,2
313,0
314,2
315,0
316,2
317,2
318,2
319,0
320,2
321,2
322,0
323,0
324,0
325,1 2
326,0
327,0
328,0
329,1 0
330,0
331,0
332,0
333,0
334,0
335,1 0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1 0
368,0
369,0
370,0
371,0
372,2
373,2
374,0
375,0
376,0
377,0
378,2
379,0
380,0
381,2
382,2
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,2
393,2
394,0
395,0
396,0
397,0
398,2
399,0
400,0
401,0
402,0
403,0
404,2
405,0
406,0
407,2
408,2
409,0
410,2
411,0
412,2
413,0
414,0
415,2
416,0
417,2
418,2
419,2
420,0
421,2
422,2
423,2
424,0
425,2
426,2
427,2
428,2
429,2
430,2
431,0
432,2
433,2
434,2
435,0
436,2
437,2
438,0
439,2
440,1 2
441,2
442,2
443,2
444,2
445,2
446,0
447,0
448,2
449,2
450,2
451,0
452,2
453,0
454,2
455,2
456,2
457,2
458,2
459,0
460,2
461,2
462,0
463,0
464,2
465,2
466,2
467,2
468,0
469,0
470,2
471,2
472,2
473,2
474,0
475,0
476,2
477,2
478,0
479,2
480,2
481,2
482,2
483,2
484,0
485,2
486,2
487,0
488,2
489,2
490,2
491,2
492,2
493,2
494,0
495,2
496,2
497,2
498,0
499,2
500,2
